time,tickets,zip,city,state,latitude,longitude,timezone,dst
8/17/2015 21:56:06,1,44105,Cleveland,OH,41.450602,-81.62216,-5.0,1.0
8/17/2015 21:56:20,1,06484,Shelton,CT,41.306396,-73.1292,-5.0,1.0
8/17/2015 21:56:25,1,14607,Rochester,NY,43.149863,-77.58962,-5.0,1.0
8/17/2015 21:56:29,2,48221,Detroit,MI,42.426786,-83.14969,-5.0,1.0
8/17/2015 21:57:05,1,14150,Tonawanda,NY,43.001907,-78.8631,-5.0,1.0
8/17/2015 21:58:20,1,19123,Philadelphia,PA,39.964012,-75.14764,-5.0,1.0
8/17/2015 22:03:04,1,80219,Denver,CO,39.698137,-105.03483,-7.0,1.0
8/17/2015 22:05:40,1,19125,Philadelphia,PA,39.978162,-75.12565,-5.0,1.0
8/17/2015 22:06:55,1,12054,Delmar,NY,42.614979,-73.84085999999999,-5.0,1.0
8/17/2015 22:07:19,1,75252,Dallas,TX,32.998132,-96.79088,-6.0,1.0
8/17/2015 22:10:22,2,02830,Harrisville,RI,41.976659000000005,-71.64969,-5.0,1.0
8/17/2015 22:13:21,1,98112,Seattle,WA,47.629653000000005,-122.29751999999999,-8.0,1.0
8/17/2015 22:13:27,3,13057,East Syracuse,NY,43.074265999999994,-76.05538,-5.0,1.0
8/17/2015 22:15:02,2,10514,Chappaqua,NY,41.167455,-73.77597,-5.0,1.0
8/17/2015 22:15:52,1,33602,Tampa,FL,27.956149,-82.45723000000001,-5.0,1.0
8/17/2015 22:16:05,1,97219,Portland,OR,45.45867,-122.70611000000001,-8.0,1.0
8/17/2015 22:16:12,1,22314,Alexandria,VA,38.806163,-77.05139,-5.0,1.0
8/17/2015 22:18:34,1,12308,Schenectady,NY,42.820909,-73.92002,-5.0,1.0
8/17/2015 22:22:49,1,45069,West Chester,OH,39.343757000000004,-84.40249,-5.0,1.0
8/17/2015 22:25:25,1,04473,Orono,ME,44.889249,-68.68177,-5.0,1.0
8/17/2015 22:31:44,2,13152,Skaneateles,NY,42.897166999999996,-76.38963000000001,-5.0,1.0
8/17/2015 22:33:19,2,60640,Chicago,IL,41.973181,-87.6665,-6.0,1.0
8/17/2015 22:36:37,1,28205,Charlotte,NC,35.222406,-80.79221,-5.0,1.0
8/17/2015 22:45:31,5,11211,Brooklyn,NY,40.71209,-73.95427,-5.0,1.0
8/17/2015 22:54:42,5,18972,Upper Black Eddy,PA,40.535227,-75.12642,-5.0,1.0
8/17/2015 22:56:08,2,06512,East Haven,CT,41.276497,-72.87411999999999,-5.0,1.0
8/17/2015 22:56:09,2,22180,Vienna,VA,38.894711,-77.25336999999999,-5.0,1.0
8/17/2015 22:56:56,1,02149,Everett,MA,42.409915999999996,-71.0522,-5.0,1.0
8/17/2015 22:58:34,2,80229,Denver,CO,39.859584999999996,-104.95943,-7.0,1.0
8/17/2015 22:58:52,2,11795,West Islip,NY,40.713459,-73.3001,-5.0,1.0
8/17/2015 22:59:45,1,60448,Mokena,IL,41.536782,-87.88582,-6.0,1.0
8/17/2015 23:01:31,2,05401,Burlington,VT,44.484038,-73.22126,-5.0,1.0
8/17/2015 23:08:53,1,07070,Rutherford,NJ,40.828922,-74.11064,-5.0,1.0
8/17/2015 23:10:06,2,05401,Burlington,VT,44.484038,-73.22126,-5.0,1.0
8/17/2015 23:11:28,1,05676,Waterbury,VT,44.348486,-72.77081,-5.0,1.0
8/17/2015 23:11:31,1,23502,Norfolk,VA,36.855247,-76.21233000000001,-5.0,1.0
8/17/2015 23:11:36,1,53212,Milwaukee,WI,43.072062,-87.9103,-6.0,1.0
8/17/2015 23:11:39,5,05401,Burlington,VT,44.484038,-73.22126,-5.0,1.0
